232 [32,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
232 [32,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
232 [32,165] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
232 [32,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,8] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,65] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,124] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,143] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,157] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,188] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,189] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,309] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
236 [33,344] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,2] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,5] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,50] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,77] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,141] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
269 [34,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,12] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,142] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
274 [35,310] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
275 [36,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
288 [37,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,0] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,3] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,5] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,8] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,12] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,13] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,22] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,23] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,29] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,34] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,39] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,58] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,62] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,66] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,69] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,70] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,73] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,78] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,88] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,92] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,115] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,127] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,133] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,134] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,143] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,144] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,148] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,150] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,155] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,156] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,157] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,160] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,162] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,171] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,176] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,178] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,179] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,187] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,190] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,191] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,198] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,199] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,201] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,211] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
451 [42,214] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
451 [42,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,224] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
451 [42,235] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
451 [42,248] R21: -0.004294, R11: -0.004294, R22: 1.000001, R2211: 1.000000
451 [42,264] R21: -0.004294, R11: -0.004294, R22: 0.999999, R2211: 1.000000
511 [44,146] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
511 [44,165] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
511 [44,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
528 [45,59] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
528 [45,217] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,7] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,16] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,21] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,67] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,76] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,81] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
567 [47,82] R21: -0.004294, R11: -0.004294, R22: 1.000000, R2211: 1.000000
